N | ID2_X ID2_Y ID2_Z ID2_Rx ID2_Ry ID2_Rz ID2_D | ID1_X ID1_Y ID1_Z ID1_Rx ID1_Ry ID1_Rz ID1_D
33 |   148.5   -34.2   105.3   -1.4  -12.2   -0.1   185.2 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
34 |   148.5   -34.2   105.2   -1.4  -12.2   -0.1   185.2 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
35 |   148.7   -34.0   105.7   -1.4  -12.2   -0.1   185.6 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
36 |   148.7   -34.1   105.4   -1.4  -12.2   -0.1   185.4 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
37 |   148.5   -34.3   104.8   -1.4  -12.2   -0.1   185.0 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
38 |   148.5   -34.3   104.9   -1.4  -12.2   -0.1   185.0 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
39 |   148.6   -34.0   105.6   -1.4  -12.2   -0.1   185.4 |  -120.0    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
40 |   148.5   -34.3   104.7   -1.4  -12.2   -0.1   184.9 |  -120.0    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
41 |   148.6   -34.2   105.2   -1.4  -12.2   -0.1   185.3 |  -120.0    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
42 |   150.4   -30.6   115.8   -2.7  -11.3    0.3   192.3 |  -119.5    -3.4     9.2   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
43 |   150.6   -30.6   116.0   -2.7  -11.3    0.3   192.5 |  -119.5    -3.4     9.2   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
44 |   150.8   -30.5   116.6   -2.7  -11.2    0.3   193.0 |  -119.5    -3.4     9.5   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
45 |   150.6   -30.5   116.4   -2.7  -11.2    0.3   192.7 |  -119.5    -3.4     9.6   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
46 |   150.8   -30.3   116.9   -2.8  -11.2    0.3   193.2 |  -119.5    -3.4    10.1   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
47 |   151.0   -30.4   116.7   -2.8  -11.1    0.3   193.3 |  -119.4    -3.4    10.4   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
48 |   150.8   -30.5   115.9   -2.8  -11.1    0.3   192.6 |  -119.4    -3.4    10.4   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
49 |   150.8   -30.5   116.2   -2.7  -11.1    0.3   192.8 |  -119.5    -3.4     9.9   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
50 |   150.6   -30.6   115.8   -2.7  -11.2    0.3   192.4 |  -119.5    -3.5     9.3   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
51 |   150.6   -30.6   115.7   -2.7  -11.2    0.3   192.3 |  -119.5    -3.5     9.3   119.9 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
52 |   147.8   -35.1   102.2   -1.3  -11.6   -0.3   183.0 |  -120.0    -3.7     2.0   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
53 |   147.8   -35.1   102.4   -1.3  -11.6   -0.3   183.2 |  -120.0    -3.7     1.9   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
54 |   147.8   -35.1   102.4   -1.3  -11.6   -0.3   183.2 |  -120.0    -3.7     1.9   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
55 |   147.8   -35.1   102.0   -1.3  -11.6   -0.3   183.0 |  -119.9    -3.7     1.8   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
56 |   147.9   -35.1   102.7   -1.3  -11.6   -0.3   183.5 |  -119.9    -3.7     1.8   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
57 |   147.8   -35.0   103.1   -1.3  -11.6   -0.3   183.6 |  -119.9    -3.8     1.9   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
58 |   147.8   -35.1   102.5   -1.3  -11.6   -0.3   183.3 |  -120.0    -3.8     1.9   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
59 |   147.8   -35.1   102.6   -1.3  -11.6   -0.3   183.4 |  -120.0    -3.8     1.9   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
